LABEL                          LABEL                          USER           PID  PPID     VSZ    RSS WCHAN          ADDR S NAME                       
u:r:init:s0                    u:r:init:s0                    root             1     0 12636028  7300 do_epoll_wait     0 S init
u:r:kernel:s0                  u:r:kernel:s0                  root             2     0       0      0 kthreadd          0 S [kthreadd]
u:r:kernel:s0                  u:r:kernel:s0                  root             3     2       0      0 rescuer_thread    0 I [rcu_gp]
u:r:kernel:s0                  u:r:kernel:s0                  root             4     2       0      0 rescuer_thread    0 I [slub_flushwq]
u:r:kernel:s0                  u:r:kernel:s0                  root             5     2       0      0 rescuer_thread    0 I [netns]
u:r:kernel:s0                  u:r:kernel:s0                  root             9     2       0      0 rescuer_thread    0 I [mm_percpu_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root            11     2       0      0 rcu_tasks_one_gp  0 I [rcu_tasks_kthread]
u:r:kernel:s0                  u:r:kernel:s0                  root            12     2       0      0 rcu_tasks_one_gp  0 I [rcu_tasks_trace_kthread]
u:r:kernel:s0                  u:r:kernel:s0                  root            13     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            14     2       0      0 rcu_gp_fqs_loop   0 I [rcu_preempt]
u:r:kernel:s0                  u:r:kernel:s0                  root            15     2       0      0 nocb_gp_sleep     0 S [rcuog/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            16     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            17     2       0      0 rcu_boost_kthread 0 S [rcub/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            18     2       0      0 kthread_worker_fn 0 S [rcu_exp_gp_kthread_worker]
u:r:kernel:s0                  u:r:kernel:s0                  root            19     2       0      0 kthread_worker_fn 0 S [rcu_exp_par_gp_kthread_worker]
u:r:kernel:s0                  u:r:kernel:s0                  root            20     2       0      0 smpboot_thread_fn 0 S [migration/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            21     2       0      0 smpboot_thread_fn 0 S [idle_inject/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            22     2       0      0 smpboot_thread_fn 0 S [cpuhp/0]
u:r:kernel:s0                  u:r:kernel:s0                  root            23     2       0      0 smpboot_thread_fn 0 S [cpuhp/1]
u:r:kernel:s0                  u:r:kernel:s0                  root            24     2       0      0 smpboot_thread_fn 0 S [idle_inject/1]
u:r:kernel:s0                  u:r:kernel:s0                  root            25     2       0      0 smpboot_thread_fn 0 S [migration/1]
u:r:kernel:s0                  u:r:kernel:s0                  root            26     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/1]
u:r:kernel:s0                  u:r:kernel:s0                  root            29     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/1]
u:r:kernel:s0                  u:r:kernel:s0                  root            30     2       0      0 smpboot_thread_fn 0 S [cpuhp/2]
u:r:kernel:s0                  u:r:kernel:s0                  root            31     2       0      0 smpboot_thread_fn 0 S [idle_inject/2]
u:r:kernel:s0                  u:r:kernel:s0                  root            32     2       0      0 smpboot_thread_fn 0 S [migration/2]
u:r:kernel:s0                  u:r:kernel:s0                  root            33     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/2]
u:r:kernel:s0                  u:r:kernel:s0                  root            36     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/2]
u:r:kernel:s0                  u:r:kernel:s0                  root            37     2       0      0 smpboot_thread_fn 0 S [cpuhp/3]
u:r:kernel:s0                  u:r:kernel:s0                  root            38     2       0      0 smpboot_thread_fn 0 S [idle_inject/3]
u:r:kernel:s0                  u:r:kernel:s0                  root            39     2       0      0 smpboot_thread_fn 0 S [migration/3]
u:r:kernel:s0                  u:r:kernel:s0                  root            40     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/3]
u:r:kernel:s0                  u:r:kernel:s0                  root            43     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/3]
u:r:kernel:s0                  u:r:kernel:s0                  root            44     2       0      0 smpboot_thread_fn 0 S [cpuhp/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            45     2       0      0 smpboot_thread_fn 0 S [idle_inject/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            46     2       0      0 smpboot_thread_fn 0 S [migration/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            47     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            50     2       0      0 rcu_nocb_gp_kthread 0 S [rcuog/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            51     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/4]
u:r:kernel:s0                  u:r:kernel:s0                  root            52     2       0      0 smpboot_thread_fn 0 S [cpuhp/5]
u:r:kernel:s0                  u:r:kernel:s0                  root            53     2       0      0 smpboot_thread_fn 0 S [idle_inject/5]
u:r:kernel:s0                  u:r:kernel:s0                  root            54     2       0      0 smpboot_thread_fn 0 S [migration/5]
u:r:kernel:s0                  u:r:kernel:s0                  root            55     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/5]
u:r:kernel:s0                  u:r:kernel:s0                  root            58     2       0      0 rcu_nocb_cb_kthread 0 S [rcuop/5]
u:r:kernel:s0                  u:r:kernel:s0                  root            59     2       0      0 smpboot_thread_fn 0 S [cpuhp/6]
