kind	origin	destination	size	sha256	collected_utc	command
partition	/dev/block/by-name/abl	partitions/abl.img	4194304	49ff63c8b82e1513ea6c41cd5229fa088eee272e238419a8f3067b1abcb9d7eb	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/abl bs=1048576 status=none'
partition	/dev/block/by-name/devinfo	partitions/devinfo.img	4096	ae8e0b0112822c89ce2ea9dbae977a55bbf4efcab7171083f2d9dcec0f668220	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/devinfo bs=1048576 status=none'
partition	/dev/block/by-name/em	partitions/em.img	2097152	ac9e4116fa1b2fb4922744ec591190a0727e3d84f1e9a74361a344261f457711	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/em bs=1048576 status=none'
partition	/dev/block/by-name/imagefv	partitions/imagefv.img	10485760	bdc8b3317c4ed9966ce43a36c25578da77e991f8c376a27d1c2dc603f599d2a8	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/imagefv bs=1048576 status=none'
partition	/dev/block/by-name/uefisecapp	partitions/uefisecapp.img	2097152	104d16c630f142170db875e80ead9f3497ca9bd4cac0daff2830f58126c52809	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/uefisecapp bs=1048576 status=none'
partition	/dev/block/by-name/vbmeta	partitions/vbmeta.img	131072	f6e493075c77dc4981b317b4495ccfb82fad9d7a27ab7ca6f0e479bcde0844f3	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/vbmeta bs=1048576 status=none'
partition	/dev/block/by-name/vbmeta_system	partitions/vbmeta_system.img	65536	fe08afbe3ae14be99bc952ad34f115a2e4d6dfb3456de5adc85ae399d328397e	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/dev/block/by-name/vbmeta_system bs=1048576 status=none'
binary	/vendor/bin/vendor.samsung.hardware.security.engmode-service	binaries/vendor.samsung.hardware.security.engmode-service	33736	61f7c20de82f6c9c736a2388491530f4d22040f26c4a6ae0de33cb6daaf143bc	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/bin/vendor.samsung.hardware.security.engmode-service bs=1048576 status=none'
binary	/vendor/bin/emservice	binaries/emservice	11104	f4974b8e1be6bd30c4f3bc61cc0472362fc81f16146bb1c46903b4214cf7f2a0	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/bin/emservice bs=1048576 status=none'
library	/vendor/lib64/libengmode_client.so	binaries/libengmode_client.so	31872	86365b89ce6c8139cb85d55200d32ac0ca84683b25250b2a26f4afd68c4f8f31	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libengmode_client.so bs=1048576 status=none'
library	/vendor/lib64/libengmode_server.so	binaries/libengmode_server.so	100000	1eba30538f372a48f772bf14d4b92bde277cd969191400ef0fccd6f83c9a5d2c	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libengmode_server.so bs=1048576 status=none'
library	/vendor/lib64/libengmode_tlc.so	binaries/libengmode_tlc.so	15304	7378323a50cfa8ba75a62986a6db131d81e33c892808eecb31480cb50c3d0168	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libengmode_tlc.so bs=1048576 status=none'
library	/vendor/lib64/libengmode2lite.so	binaries/libengmode2lite.so	259056	b7f0a07ca1467005bfd053e8dc69a665020bf24bd550131d243766d6e71d90c6	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libengmode2lite.so bs=1048576 status=none'
library	/vendor/lib64/libengmode15.so	binaries/libengmode15.so	116608	c06cb7adf0f24fa8108157b35d270e34810be9ec937cab82a86696ed42512937	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libengmode15.so bs=1048576 status=none'
library	/vendor/lib64/libsecril-client.so	binaries/libsecril-client.so	40168	48f6cb62242b4e1932ea5bb22d8cdf332bdd1b675533701b434df9a928f57195	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/libsecril-client.so bs=1048576 status=none'
library	/system/lib64/lib.engmode.samsung.so	binaries/lib.engmode.samsung.so	101296	2c83935f5a2b216d2721ad436781392fda8b0baad07be8663ecfe3d4f0076b10	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/lib64/lib.engmode.samsung.so bs=1048576 status=none'
library	/system/lib64/lib.engmodejni.samsung.so	binaries/lib.engmodejni.samsung.so	40160	91fc109fc39e0a15c30c78d5b2d4bf4dea7d93cd6e197dfc3748538f61ec9d7c	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/lib64/lib.engmodejni.samsung.so bs=1048576 status=none'
library	/system/lib64/libfrpunlock.so	binaries/libfrpunlock.so	52816	ebe8597684086a8433efcdcd8d7b92655fc44bce99adaaa66fe74cf9322d97ef	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/lib64/libfrpunlock.so bs=1048576 status=none'
library	/system/lib64/vendor.samsung.hardware.security.engmode-V1-ndk.so	binaries/engmode-V1-ndk-system.so	85488	06808652311b40aa3be2c849aecdd96478d3ce90ec5a05a1e5b00d9249cdee36	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/lib64/vendor.samsung.hardware.security.engmode-V1-ndk.so bs=1048576 status=none'
library	/vendor/lib64/vendor.samsung.hardware.security.engmode-V1-ndk.so	binaries/engmode-V1-ndk-vendor.so	67464	4affc492580ca2dbf68955776bd59f98edd1ebe69a846598a431a0b14851e92c	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/lib64/vendor.samsung.hardware.security.engmode-V1-ndk.so bs=1048576 status=none'
configuration	/vendor/etc/vintf/manifest/vendor.samsung.hardware.security.engmode-manifest.xml	framework/vendor.samsung.hardware.security.engmode-manifest.xml	222	d4914ce9e82c4692da33dcf5d8019a6aa774faedd442c4a1b64cb7a6cf4e87af	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/etc/vintf/manifest/vendor.samsung.hardware.security.engmode-manifest.xml bs=1048576 status=none'
